Invoice Number,Customer,Invoice Date,Due Date,Amount (GBP),Paid (GBP),Balance (GBP),Days Outstanding,Ageing Bucket,Status,Dispute Flag
INV-0001,DigitalEdge,2024-04-07,2024-05-07,77248.5,62204.24,15044.26,632,90+,Outstanding,N
INV-0002,NextGen Solutions,2024-08-27,2024-09-26,49738.37,34792.18,14946.19,490,90+,Outstanding,N
INV-0003,Acme Corp,2024-02-16,2024-03-17,145169.56,22012.55,123157.01,683,90+,Disputed,Y
INV-0004,CloudFirst,2024-10-25,2024-11-24,12328.36,7904.43,4423.93,431,90+,Outstanding,N
INV-0005,SmartSystems,2024-11-01,2024-12-01,99867.71,85180.74,14686.97,424,90+,Outstanding,N
INV-0006,SmartSystems,2024-05-26,2024-06-25,127839.99,91364.21,36475.78,583,90+,Outstanding,N
INV-0007,FutureTech,2024-03-09,2024-04-08,110488.67,94244.88,16243.79,661,90+,Outstanding,N
INV-0008,FutureTech,2024-07-06,2024-08-05,12417.86,6433.66,5984.2,542,90+,Outstanding,N
INV-0009,NextGen Solutions,2024-04-09,2024-05-09,46847.25,30216.92,16630.33,630,90+,Outstanding,N
INV-0010,FutureTech,2024-09-15,2024-10-15,84729.28,57627.92,27101.36,471,90+,Outstanding,N
INV-0011,CoreLogic,2024-12-14,2025-01-13,23656.19,17610.08,6046.11,381,90+,Outstanding,N
INV-0012,TechFlow Inc,2024-07-20,2024-08-19,85885.62,76843.16,9042.46,528,90+,Outstanding,N
INV-0013,DigitalEdge,2024-03-14,2024-04-13,78822.76,45687.5,33135.26,656,90+,Outstanding,N
INV-0014,NextGen Solutions,2024-01-21,2024-02-20,24870.27,12885.82,11984.45,709,90+,Outstanding,N
INV-0015,DigitalEdge,2024-08-30,2024-09-29,26596.4,18823.15,7773.25,487,90+,Outstanding,N
INV-0016,NextGen Solutions,2024-03-12,2024-04-11,93894.88,59265.17,34629.71,658,90+,Outstanding,N
INV-0017,DataDrive Ltd,2024-07-20,2024-08-19,48388.98,10732.47,37656.51,528,90+,Disputed,Y
INV-0018,DigitalEdge,2024-09-16,2024-10-16,82189.28,68325.24,13864.04,470,90+,Outstanding,N
INV-0019,CoreLogic,2024-06-02,2024-07-02,7412.36,5114.21,2298.15,576,90+,Outstanding,N
INV-0020,DigitalEdge,2024-12-10,2025-01-09,65398.34,35566.35,29831.99,385,90+,Outstanding,N
INV-0021,InnovateCo,2024-11-18,2024-12-18,73815.58,37694.58,36121.0,407,90+,Outstanding,N
INV-0022,CoreLogic,2024-10-22,2024-11-21,12446.5,7356.1,5090.4,434,90+,Outstanding,N
INV-0023,SmartSystems,2024-03-28,2024-04-27,109571.51,77762.13,31809.38,642,90+,Outstanding,N
INV-0024,FutureTech,2024-03-16,2024-04-15,40118.5,33244.78,6873.72,654,90+,Outstanding,N
INV-0025,CoreLogic,2024-02-26,2024-03-27,68950.59,39737.17,29213.42,673,90+,Outstanding,N
INV-0026,FutureTech,2024-03-18,2024-04-17,34564.29,22991.61,11572.68,652,90+,Outstanding,N
INV-0027,NextGen Solutions,2024-11-09,2024-12-09,131558.57,114220.25,17338.32,416,90+,Outstanding,N
